Price,Date,Open,High,Low,Close,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
734,2017-12-21,407.32825191202033,409.767495343087,403.58073464140097,404.8890380859375,9071450
735,2017-12-22,405.6429394974131,409.08001849506155,403.27021874989356,408.1930236816406,10658428
736,2017-12-26,410.16657934662317,416.3976875485768,407.19515709161954,412.36187744140625,11596338
737,2017-12-27,413.78110470548717,415.77680613836804,407.57217027768803,409.67877197265625,9520350
738,2017-12-28,410.34398316138567,414.40196750524814,407.6165058713994,409.8783264160156,15511891
739,2017-12-29,410.8983310660524,413.47058922200887,407.3503520309668,408.48126220703125,11089700
740,2018-01-01,409.21303494964997,409.21303494964997,402.4719222022548,403.46978759765625,9453202
741,2018-01-02,404.9111706793294,407.8160706027342,401.9840966253257,404.0906982421875,9499419
742,2018-01-03,410.2331137592834,410.67662598025555,404.9333484732845,405.70947265625,13507800
743,2018-01-04,407.1951644220413,408.813935162073,406.10860242016406,408.148681640625,9008932
744,2018-01-05,408.8139509217142,411.07577153485664,408.1265232432172,409.4570007324219,7441284
745,2018-01-08,410.72096364863074,412.8940876209005,409.56787927181296,411.8075256347656,8827020
746,2018-01-09,411.6300692278922,418.61512691157884,409.78958696496557,417.30682373046875,14294571
747,2018-01-10,418.2160285866998,420.16741126456117,414.88982022420083,417.9277648925781,11727682
748,2018-01-11,417.6838295147043,418.060819343794,414.66805890689244,415.8876953125,7849171
749,2018-01-12,418.21599846862324,422.56224611768937,416.1093970302507,420.876953125,15071161
750,2018-01-15,421.3205017887573,425.0901928125583,419.1917260373226,420.9435119628906,11120925
751,2018-01-16,420.3004644736042,420.3004644736042,408.01564077187857,409.3239440917969,10825151
752,2018-01-17,410.6766366028158,412.00711409018425,402.25020023619726,410.0113830566406,13204016
753,2018-01-18,412.00707482159225,412.27316437270844,405.8424892575261,407.882568359375,9381821
754,2018-01-19,409.3461363551174,414.4019864176343,408.94700198372743,413.02716064453125,9973533
755,2018-01-22,420.4334844451951,432.09740219223704,416.8855349177797,430.8556213378906,45700733
756,2018-01-23,432.40789106951746,439.481616345957,432.40789106951746,436.06671142578125,22526810
757,2018-01-24,435.40149623259526,435.40149623259526,426.9307407756454,428.5716857910156,14289485
758,2018-01-25,429.25906609350596,431.07740409349725,424.04799714595697,428.3721008300781,13669901
759,2018-01-29,428.50514025500365,433.4279158253268,425.4450213195419,427.7511901855469,9897064
760,2018-01-30,428.32773375034145,428.32773375034145,420.8769890250043,421.4978942871094,9182956
761,2018-01-31,421.32046905458657,427.751144070545,417.5729228476078,426.33197021484375,12551686
762,2018-02-01,427.1968160325906,431.3434671995685,415.37764936301045,418.5929870605469,16524809
763,2018-02-02,414.6680473385717,418.6373350663167,399.589224325159,401.0749206542969,28965593
764,2018-02-05,396.48477099961235,404.6894363015321,391.07413501593584,400.0992431640625,19191099
765,2018-02-06,388.94532524354076,398.2587258855065,386.28434094370255,395.64208984375,24062503
766,2018-02-07,400.27664144190334,401.54059643569394,394.7107572753318,396.6621398925781,15532284
767,2018-02-08,398.21441659293293,403.86896807654455,395.75299921361125,401.16363525390625,13825894
768,2018-02-09,394.2672907010263,400.0327126635099,392.93678365931567,398.1922302246094,11580639
769,2018-02-12,400.4762169140037,407.2173300906768,400.05487883734907,406.0198974609375,11877059
770,2018-02-14,409.3460681208835,417.99424450426716,408.45907339399974,414.0693054199219,22247829
771,2018-02-15,415.84335471781264,419.4356527934342,411.630121757543,414.95635986328125,13363743
772,2018-02-16,416.70819486176265,418.03870210258447,407.1730508624599,408.5922546386719,9628162
773,2018-02-19,408.45910230095075,413.3375588415747,405.1550681730884,411.1200866699219,8941900
